0,0.082315
43,0.052861
86,0.070955
128,0.062486
170,0.059189
213,0.074674
255,0.049986
298,0.082846
340,0.044204
383,0.084034
425,0.046251
468,0.077659
510,0.055189
552,0.068486
595,0.064877
637,0.05697
680,0.075674
722,0.049142
764,0.083034
807,0.044142
849,0.084128
892,0.046455
934,0.078752
976,0.053392
1019,0.070596
1061,0.064439
1104,0.058924
1146,0.073862
1188,0.049189
1231,0.081815
1273,0.044298
1315,0.084143
1358,0.044954
1400,0.081377
1442,0.049595
1485,0.072783
1527,0.059611
1569,0.062971
1612,0.071268
1654,0.051986
1697,0.079487
1739,0.045876
1782,0.084346
1824,0.044079
1866,0.082909
1909,0.048783
1951,0.075971
1993,0.057127
2036,0.064174
2078,0.068924
2121,0.054502
2163,0.077987
2205,0.04597
2248,0.083659
2290,0.044142
2333,0.083081
2375,0.047673
2417,0.078065
2460,0.054674
2502,0.066955
2544,0.066846
2587,0.056814
2629,0.07719
2672,0.047798
2714,0.082924
2756,0.044111
2799,0.084034
2841,0.04597
2883,0.079659
2926,0.054033
2968,0.069721
3011,0.063877
3053,0.057314
3096,0.074971
3138,0.049283
3180,0.082424
3223,0.044095
3265,0.084362
3307,0.045283
3350,0.080221
3392,0.051158
3434,0.073049
3477,0.061877
3519,0.062096
3562,0.071721
3604,0.052439
3646,0.080752
3689,0.045517
3731,0.083815
3774,0.044579
3816,0.081768
3858,0.048908
3901,0.074221
3943,0.058846
3985,0.064518
4028,0.068158
4070,0.053799
4112,0.077721
4155,0.047064
4197,0.083315
4240,0.044033
4282,0.082674
4324,0.046705
4367,0.077471
4409,0.054861
4451,0.069205
4494,0.066377
4536,0.056986
4579,0.075284
4621,0.049517
4663,0.082815
4706,0.044345
4748,0.084378
4790,0.04533
4833,0.08044
4875,0.051611
4918,0.070893
4961,0.066861
